Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
!Xun,Vulnerable,"14,000-18,000",Kx'a,South Africa Namibia Angola ,"-28.74358,23.983154; -17.560247, 18.050537; -19.621892, 20.253296; -21.749296, 19.896240"
Ã”rÃ´Ãª,Endangered,590,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.4223,165.4678"
(Lower) Tanana,Critically Endangered,25,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),USA ,"65.157778, -149.37;64.521111, -146.980556;64.558056,-149.090556"
Abaga,Critically Endangered,5,Trans-New Guinea; Kainantu-Goroka,Papua New Guinea ,"-6.1883,145.5976"
Abai Sungai,Endangered,<500,Austronesian; Malayo-Polynesian; North Borneo; Sabahan,Malaysia ,"5.587, 118.3695"
Abau,Threatened,">7,000",Sepik,Papua New Guinea ,"-3.97, 141.32"
Abaza,Vulnerable,"47,880",Northwest Caucasian; Abkhaz-Abaza,Russia ,"44.0,42.0"
Abinomn,Critically Endangered,50,Isolate; Pacific,Indonesia ,"-2.92, 138.89"
Abom,Critically Endangered,15,Trans-New Guinea; Tirio,Papua New Guinea ,"-8.424996376, 142.9303589"
Abu,Threatened,"2,347",Lower Sepik-Ramu; Ramu; Grass,Papua New Guinea ,"-4.24, 144.47"
Abu',Threatened,"2,560",Torricelli; Arapeshan,Papua New Guinea ,"-3.4, 142.8"
Abun,Threatened,3000,Isolate; Pacific,Indonesia ,"-0.52, 132.19; -0.66, 131.91"
Achagua,Endangered,283,Arawakan; Northern Arawakan; Upper Amazon,Colombia ,"4.41666666667,-72.25"
AchÃ©,Severely Endangered,200,Tupian; Tupi-Guaranian; Guaranian,Paraguay ,"-25.25,-55.1666666667"
Acheron,Vulnerable,"70,000",Niger-Congo; Talodi,Sudan ,"10.809,30.2453"
Achi',Vulnerable,"51,593",Mayan; K'ichean,Guatemala ,"15.1666666667,-90.5"
Achuar,Threatened,"5,443",Jivaroan,Peru Ecuador ,"-2.876318, -77.586775"
