Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Ã”rÃ´Ãª,Definitely endangered,590,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.4223,165.4678",-21.4223,165.4678
Abaga,Critically endangered,5,Trans-New Guinea; Kainantu-Goroka,Papua New Guinea ,"-6.1883,145.5976",-6.1883,145.5976
Abai Sungai,Definitely endangered,<500,Austronesian; Malayo-Polynesian; North Borneo; Sabahan,Malaysia ,"5.587, 118.3695",5.587, 118.3695
Abau,Vulnerable,">7,000",Sepik,Papua New Guinea ,"-3.97, 141.32",-3.97, 141.32
Abaza,Vulnerable,"47,880",Northwest Caucasian; Abkhaz-Abaza,Russia ,"44.0,42.0",44.0,42.0
Abinomn,Critically endangered,50,Isolate; Pacific,Indonesia ,"-2.92, 138.89",-2.92, 138.89
Abom,Critically endangered,15,Trans-New Guinea; Tirio,Papua New Guinea ,"-8.424996376, 142.9303589",-8.424996376, 142.9303589
Abu,Vulnerable,"2,347",Lower Sepik-Ramu; Ramu; Grass,Papua New Guinea ,"-4.24, 144.47",-4.24, 144.47
Abu',Vulnerable,"2,560",Torricelli; Arapeshan,Papua New Guinea ,"-3.4, 142.8",-3.4, 142.8
Achagua,Definitely endangered,283,Arawakan; Northern Arawakan; Upper Amazon,Colombia ,"4.41666666667,-72.25",4.41666666667,-72.25
AchÃ©,Severely endangered,200,Tupian; Tupi-Guaranian; Guaranian,Paraguay ,"-25.25,-55.1666666667",-25.25,-55.1666666667
Acheron,Vulnerable,"70,000",Niger-Congo; Talodi,Sudan ,"10.809,30.2453",10.809,30.2453
Achi',Vulnerable,"51,593",Mayan; K'ichean,Guatemala ,"15.1666666667,-90.5",15.1666666667,-90.5
Achuar,Vulnerable,"5,443",Jivaroan,Peru Ecuador ,"-2.876318, -77.586775",-2.876318, -77.586775
Achumawi,Critically endangered,<10,Palaihnihan,USA ,"41.320107,-121.129761",41.320107,-121.129761
Acoma-Laguna,Vulnerable,"~4,000",Keresan,USA ,"34.8964,-107.5816",34.8964,-107.5816
Adamorobe Sign Language,Vulnerable,35,Sign Language; African,Ghana ,"5.859378, -0.197951",5.859378, -0.197951
Adang,Definitely endangered,"7,000",Timor-Alor-Pantar; Alor,Indonesia ,"-8.195, 124.484",-8.195, 124.484
Adi,Vulnerable,"100,190",Sino-Tibetan; Tani,India China ,"28.526319,93.115814",28.526319,93.115814
Adithinngithigh,Extinct,No known L1 speakers,Pama-Nyungan; Paman,Australia ,"-12.887711, 141.717248",-12.887711, 141.717248
Adnyamathanha,Definitely endangered,100,Pama-Nyungan; Thura-Yura,Australia ,"-30.83714135,139.1215397",-30.83714135,139.1215397
Adzera,Vulnerable,"28,900",Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-6.39, 146.29",-6.39, 146.29
Aer,Definitely endangered,200,Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Pakistan ,"25.272921, 69.290285",25.272921, 69.290285
Afra,Vulnerable,~115,Isolate; Pacific,Indonesia ,"-3.5449,140.7499",-3.5449,140.7499
Aftari,Definitely endangered,<500,Indo-European; Indo-Iranian; Iranian; Northwest; Semnan area,Iran ,"35.36, 53.7",35.36, 53.7
Aghu-Tharnggala,Extinct,0?,Pama-Nyungan; Paman,Australia ,"-15.11729919, 145.810382",-15.11729919, 145.810382
Aghul,Vulnerable,"<18,000",Northeast Caucasian; Daghestanian; Lezgic,Russia Azerbaijan ,"41.75,47.6666666667",41.75,47.6666666667
Agi,Definitely endangered,670,Torricelli; Palei,Papua New Guinea ,"-3.49, 142.39",-3.49, 142.39
Aguaruna,Vulnerable,"~55,000",Jivaroan,Peru ,"-5.0,-78.0",-5.0,-78.0
Agwamin,Critically endangered,1,Pama-Nyungan; Paman,Australia ,"-17.83386864,144.2350367",-17.83386864,144.2350367
Ã€hÃ n,Definitely endangered,300,Niger-Congo; Atlantic-Congo; Benue-Congo; Defoid,Nigeria ,"7.762, 5.724",7.762, 5.724
Ahtna,Critically endangered,30,Athabaskan-Eyak-Tlingit; Athabaskan;,USA ,"62.7547,-144.3164",62.7547,-144.3164
AikanÃ£,Vulnerable,175-200,Isolate; South American,Brazil ,"-12.6666666667,-60.6666666667",-12.6666666667,-60.6666666667
Aimele,Definitely endangered,140,Trans-New Guinea; Awyu,Papua New Guinea ,"-6.751896, 142.745361",-6.751896, 142.745361
